zipcode,city,state
07002,"Bayonne",NJ
07008,"Carteret",NJ
07024,"Fort Lee",NJ
07030,"Hoboken",NJ
07086,"Weehawken",NJ
07087,"Union City",NJ
07114,"Newark",NJ
07201,"Elizabeth",NJ
07302,"Jersey City",NJ
07304,"Jersey City",NJ
07310,"Jersey City",NJ
07311,"Jersey City",NJ
07423,"Ho Ho Kus",NJ
07718,"Belford",NJ
07737,"Leonardo",NJ
07758,"Port Monmouth",NJ
07901,"Summit",NJ
07974,"New Providence",NJ
08876,"Somerville",NJ
10001,"New York City",NY
10002,"New York City",NY
10003,"New York City",NY
10005,"New York City",NY
10006,"New York City",NY
10007,"New York City",NY
10009,"New York City",NY
10011,"New York City",NY
10012,"New York City",NY
10013,"New York City",NY
10014,"New York City",NY
10016,"New York City",NY
10017,"New York City",NY
10018,"New York City",NY
10019,"New York City",NY
10020,"New York City",NY
10021,"New York City",NY
10022,"New York City",NY
10023,"New York City",NY
10024,"New York City",NY
10025,"New York City",NY
10026,"New York City",NY
10027,"New York City",NY
10028,"New York City",NY
10029,"New York City",NY
10030,"New York City",NY
10031,"New York City",NY
10032,"New York City",NY
10034,"New York City",NY
10035,"New York City",NY
10037,"New York City",NY
10038,"New York City",NY
10039,"New York City",NY
10044,"New York City",NY
10065,"New York City",NY
10069,"New York City",NY
10103,"New York City",NY
10110,"New York City",NY
10111,"New York City",NY
10112,"New York City",NY
10115,"New York City",NY
10119,"New York City",NY
10152,"New York City",NY
10153,"New York City",NY
10154,"New York City",NY
10162,"New York City",NY
10167,"New York City",NY
10171,"New York City",NY
10199,"New York City",NY
10271,"New York City",NY
10278,"New York City",NY
10280,"New York City",NY
10282,"New York City",NY
10301,"Staten Island",NY
10305,"Staten Island",NY
10306,"Staten Island",NY
10451,"Bronx",NY
10452,"Bronx",NY
10453,"Bronx",NY
10454,"Bronx",NY
10455,"Bronx",NY
10456,"Bronx",NY
10457,"Bronx",NY
10458,"Bronx",NY
10459,"Bronx",NY
10460,"Bronx",NY
10461,"Bronx",NY
10462,"Bronx",NY
10463,"Bronx",NY
10464,"Bronx",NY
10465,"Bronx",NY
10466,"Bronx",NY
10467,"Bronx",NY
10468,"Bronx",NY
10469,"Bronx",NY
10470,"Bronx",NY
10471,"Bronx",NY
10472,"Bronx",NY
10473,"Bronx",NY
10474,"Bronx",NY
10475,"Bronx",NY
10502,"Ardsley",NY
10550,"Mount Vernon",NY
10601,"White Plains",NY
10606,"White Plains",NY
10703,"Yonkers",NY
10705,"Yonkers",NY
10710,"Yonkers",NY
10803,"Pelham",NY
11001,"Floral Park",NY
11003,"Elmont",NY
11010,"Franklin Square",NY
11042,"New Hyde Park",NY
11050,"Port Washington",NY
11096,"Inwood",NY
11101,"Long Island City",NY
11102,"Astoria",NY
11103,"Astoria",NY
11104,"Sunnyside",NY
11105,"Astoria",NY
11106,"Astoria",NY
11109,"Long Island City",NY
11201,"Brooklyn",NY
11203,"Brooklyn",NY
11204,"Brooklyn",NY
11205,"Brooklyn",NY
11206,"Brooklyn",NY
11207,"Brooklyn",NY
11208,"Brooklyn",NY
11209,"Brooklyn",NY
11210,"Brooklyn",NY
11211,"Brooklyn",NY
11212,"Brooklyn",NY
11213,"Brooklyn",NY
11214,"Brooklyn",NY
11215,"Brooklyn",NY
11216,"Brooklyn",NY
11217,"Brooklyn",NY
11218,"Brooklyn",NY
11219,"Brooklyn",NY
11220,"Brooklyn",NY
11221,"Brooklyn",NY
11222,"Brooklyn",NY
11223,"Brooklyn",NY
11224,"Brooklyn",NY
11225,"Brooklyn",NY
11226,"Brooklyn",NY
11228,"Brooklyn",NY
11229,"Brooklyn",NY
11230,"Brooklyn",NY
11231,"Brooklyn",NY
11233,"Brooklyn",NY
11234,"Brooklyn",NY
11235,"Brooklyn",NY
11236,"Brooklyn",NY
11237,"Brooklyn",NY
11238,"Brooklyn",NY
11351,"Flushing",NY
11354,"Flushing",NY
11355,"Flushing",NY
11356,"College Point",NY
11357,"Whitestone",NY
11358,"Flushing",NY
11360,"Bayside",NY
11363,"Little Neck",NY
11364,"Oakland Gardens",NY
11365,"Fresh Meadows",NY
11366,"Fresh Meadows",NY
11367,"Flushing",NY
11368,"Corona",NY
11369,"East Elmhurst",NY
11370,"East Elmhurst",NY
11371,"Flushing",NY
11372,"Jackson Heights",NY
11373,"Elmhurst",NY
11374,"Rego Park",NY
11375,"Forest Hills",NY
11377,"Woodside",NY
11378,"Maspeth",NY
11379,"Middle Village",NY
11385,"Ridgewood",NY
11411,"Cambria Heights",NY
11412,"Saint Albans",NY
11413,"Springfield Gardens",NY
11415,"Kew Gardens",NY
11416,"Ozone Park",NY
11417,"Ozone Park",NY
11418,"Richmond Hill",NY
11419,"South Richmond Hill",NY
11420,"South Ozone Park",NY
11421,"Woodhaven",NY
11422,"Rosedale",NY
11423,"Hollis",NY
11424,"Jamaica",NY
11426,"Bellerose",NY
11427,"Queens Village",NY
11430,"Jamaica",NY
11432,"Jamaica",NY
11433,"Jamaica",NY
11434,"Jamaica",NY
11435,"Jamaica",NY
11436,"Jamaica",NY
11575,"Roosevelt",NY
11580,"Valley Stream",NY
11598,"Woodmere",NY
11691,"Far Rockaway",NY
11694,"Rockaway Park",NY
